sep=,
Filename,Lastname,Firstnames,Title,Date
ENG18400_Trollope,Trollope,Frances Milton,The Life and Adventures of Michael Armstrong : ELTeC edition,1840
ENG18410_Sinclair,Sinclair,Catherine,"Modern Flirtations: or, A Month at Harrowgate : ELTeC edition",1841
ENG18411_Tupper,Tupper,Martin Farquhar,"The Twins: A Domestic Novel : ELTeC
                                                  edition",1844.
ENG18440_Disraeli,Disraeli,Benjamin,"Coningsby: or, The New Generation : ELTeC edition",1844
ENG18450_Disraeli,Disraeli,Benjamin,"Sybil, Or the Two Nations : ELTeC edition",1845
ENG18460_Reynolds,Reynolds,George William McArthur,The mysteries of London : ELTeC edition,1846
ENG18470_Aguilar,Aguilar,Grace,Home Influence: A Tale for Mothers and Daughters : ELTeC edition,1847
ENG18471_Bronte,Brontë,Emily,Wuthering Heights : ELTeC edition,1847
ENG18480_Thackeray,Thackeray,William Makepeace,Vanity Fair: A Novel without a Hero: ELTeC edition,1848
ENG18481_Dickens,Dickens,Charles,Dombey and Son : ELTeC edition,1848
ENG18482_Gaskell,Gaskell,Elizabeth Cleghorn,Mary Barton: A Tale of Manchester Life : ELTeC edition,1848
ENG18490_Skene,Skene,Felicia,The Inheritance of Evil : ELTeC edition,1849
ENG18500_Ainsworth,Ainsworth,William Harrison,"Auriol, or The elixir of life : ELTeC edition",1850
ENG18510_Kingsley,Kingsley,Charles,Yeast: A Problem : ELTeC edition,1851
ENG18530_Dickens,Dickens,Charles,Bleak House : ELTeC edition,1853
ENG18531_Yonge,Yonge,Charlotte Mary,The Heir of Redclyffe : ELTeC edition,1853
ENG18540_Dickens,Dickens,Charles,Hard Times: For These Times : ELTeC edition,1854
ENG18551_Trollope,Trollope,Anthony,The Warden : ELTeC edition,1855
ENG18552_Kavanagh,Kavanagh,Julia,Rachel Gray : ELTec edition : ELTeC edition,1856
ENG18560_Yonge,Yonge,Charlotte Mary,The Daisy Chain : ELTeC edition,1856
ENG18570_Bronte,Brontë,Charlotte,The Professor: A Tale : ELTec edition : ELTeC edition,1857
ENG18600_Clive,Clive,Caroline Wigley,Why Paul Ferroll Killed His Wife : ELTeC edition,1860
ENG18610_Eliot,Eliot,George [pseud.],Silas Marner: The Weaver of Raveloe : ELTeC edition,1861
ENG18621_Braddon,Braddon,Mary Elizabeth,Lady Audley's Secret : ELTeC edition,1862
ENG18630_Craik,Craik,Dinah Marie,Mistress and Maid : ELTeC edition,1862
ENG18632_Reade,Reade,Charles,Hard Cash. A matter of fact romance : ELTec edition : ELTeC edition,1863
ENG18640_Blackmore,Blackmore,Richard Doddridge,Clara Vaughan : ELTeC edition,1864
